Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
179,66,128,4,5000,13,5,0,16.54,65,12990
36,127,256,8,4400,50,32,0,16.64,6,29999
80,273,64,6,5000,64,16,0,16.94,79,16499
73,33,256,8,5000,64,16,0,16.94,80,29999
141,246,256,8,4500,50,16,0,16.26,52,21999
161,33,32,2,5000,8,5,0,16.51,100,6978
161,150,32,2,5000,8,5,0,16.51,100,7370
100,7,256,2,4980,200,16,0,16.94,44,32999
40,50,64,2,5000,13,5,0,16.51,114,6799
114,81,128,4,5000,50,8,0,16.76,83,15999
119,181,128,8,3300,12,10,0,17.02,97,44999
77,40,128,6,5000,50,16,0,16.76,49,16999
47,11,64,4,5000,50,16,0,16.43,75,13999
75,40,128,6,5000,50,8,0,16.71,47,13999
150,160,32,3,5000,50,5,0,16.51,116,8999
150,3,32,3,5000,50,5,0,16.51,116,8999
162,56,64,4,5000,8,5,0,16.51,117,8995
28,95,128,8,4500,108,60,0,17.02,55,15999
28,54,128,8,4500,108,60,0,17.02,55,15999
137,191,128,4,5000,64,16,0,16.26,41,13499
150,160,64,4,5000,50,5,0,16.51,116,9999
150,205,64,4,5000,50,5,0,16.51,116,9999
150,3,64,4,5000,50,5,0,16.51,116,9999
137,53,128,8,5000,64,16,0,16.26,41,15499
183,60,128,8,5000,50,16,0,16.71,75,16999
183,1,128,8,5000,50,16,0,16.71,75,16999
33,15,128,8,4020,50,32,0,16.64,86,24999
49,185,128,6,5000,108,16,0,16.64,63,16999
48,38,64,4,5000,50,16,0,16.76,75,11249
34,47,128,8,4400,50,32,0,16.64,96,34999
91,194,128,6,5080,64,16,0,16.76,8,21174
19,80,64,4,5000,50,16,1,17.02,40,10999
5,209,128,8,4300,64,13,0,15.49,108,43999
5,37,128,8,4300,64,13,0,15.49,108,43999
124,105,64,4,5000,13,8,0,16.76,36,7993
124,216,64,4,5000,13,8,0,16.76,36,8069
33,141,128,8,4020,50,32,0,16.64,86,24999
64,248,128,8,4800,108,32,0,17.02,77,29999
106,59,64,4,5000,50,13,0,16.76,101,16499
44,133,64,4,5000,50,8,0,16.51,20,9499
99,88,128,8,5000,50,16,0,16.94,44,25999
73,69,256,8,5000,64,16,0,16.94,80,29999
106,25,128,6,5000,50,13,0,16.76,101,18999
64,145,128,8,4800,108,32,0,17.02,77,29999
106,120,128,6,5000,50,13,0,16.76,101,18999
19,80,128,6,5000,50,16,1,17.02,40,12999
114,3,128,4,5000,50,8,0,16.76,83,15999
68,211,64,4,5000,13,5,0,16.59,35,8999
83,175,64,4,6000,50,5,0,17.02,75,9499
79,12,64,6,4500,64,20,0,16.94,82,17999
73,219,256,6,5000,64,16,0,16.94,80,32999
5,217,128,8,4300,64,13,0,15.49,108,43999
133,270,128,8,4500,50,16,0,16.64,87,30499
3,274,128,8,4500,50,16,0,16.64,87,30999
7,78,64,4,5000,13,8,0,16.51,68,7999
37,207,64,4,5000,50,16,0,16.64,75,10999
125,259,64,4,5000,50,8,0,16.76,35,9290
77,273,64,4,5000,50,16,0,16.76,49,14999
